Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,162,0,0,83,0.83,10000,10000
2,178,1,0,83,0.816768352686479,10162,10162
3,180,0,0,84,0.8123791102514507,10340,10340
4,184,0,0,84,0.7984790874524715,10520,10520
5,169,1,0,84,0.7847533632286996,10704,10704
6,169,0,0,85,0.7817529660627243,10873,10873
7,176,0,0,85,0.7697880818692265,11042,11042
8,163,0,0,85,0.7577108218933857,11218,11218
9,156,0,0,85,0.746858799753976,11381,11381
10,194,0,0,85,0.7367599895986825,11537,11537
11,181,0,0,85,0.7245759099820988,11731,11731
12,178,0,0,85,0.7135661517797179,11912,11912
13,186,0,0,85,0.7030603804797354,12090,12090
14,183,0,0,85,0.6924079504724666,12276,12276
15,217,1,0,85,0.6822377397864997,12459,12459
16,186,0,0,86,0.6784474597664879,12676,12676
17,215,0,0,86,0.6686362929559944,12862,12862
18,194,0,0,86,0.6576431903341745,13077,13077
19,194,1,0,86,0.6480295380905734,13271,13271
20,189,0,0,87,0.6461195692536205,13465,13465
21,208,0,0,87,0.637175919144573,13654,13654
22,222,0,0,87,0.6276150627615062,13843,13862
23,199,0,0,87,0.617722238000568,14035,14084
24,204,0,0,86,0.6021144017363299,14180,14283
25,201,1,0,86,0.5936356733623248,14294,14487
26,248,2,0,86,0.585511982570806,14394,14688
27,244,0,0,86,0.5757900374933048,14504,14936
28,224,0,0,85,0.5599472990777339,14568,15180
29,209,1,0,84,0.5453129057387691,14605,15404
30,234,0,0,83,0.5316082751553193,14629,15613
31,202,0,0,81,0.5111377547800846,14653,15847
32,206,0,0,79,0.49224250732132846,14664,16049
33,211,0,0,77,0.47370039987696094,14677,16255
34,249,0,0,76,0.46155714806267456,14685,16466
35,206,0,0,75,0.44869877355668564,14730,16715
36,248,2,0,73,0.4314165829442705,14728,16921
37,207,1,0,72,0.41936047527520537,14764,17169
38,229,1,0,72,0.4143646408839779,14757,17376
39,197,1,0,71,0.40329451860266974,14788,17605
40,253,1,0,71,0.39883159195596,14795,17802
41,223,2,0,70,0.3877042370534478,14843,18055
42,255,0,0,70,0.38297406718459354,14881,18278
43,233,2,0,68,0.36691307397615064,14937,18533
44,236,0,0,68,0.3623574549717574,14975,18766
45,237,2,0,65,0.3420692558678034,15041,19002
46,217,1,0,65,0.3378553978897032,15098,19239
47,234,0,0,66,0.33922697368421056,15130,19456
48,236,0,0,64,0.3250380904012189,15162,19690
49,206,0,0,62,0.31115125966074475,15209,19926
50,216,1,0,59,0.2930657659447645,15219,20132
51,223,0,0,60,0.29486927462158447,15226,20348
52,249,0,0,58,0.2819503184094113,15253,20571
53,264,0,0,56,0.2689721421709894,15301,20820
54,222,0,0,54,0.2561183836084235,15358,21084
55,247,1,0,53,0.24875621890547264,15394,21306
56,259,0,0,53,0.24590544239781004,15440,21553
57,219,0,0,51,0.23381624793691547,15494,21812
58,212,0,0,50,0.22695292996232583,15510,22031
59,215,1,0,49,0.22029402508654408,15533,22243
60,268,0,0,49,0.21818505655000447,15538,22458
61,207,2,0,48,0.2112118278623603,15615,22726
62,224,0,0,50,0.21802642480268608,15623,22933
63,261,1,0,49,0.21159908451008333,15649,23157
