Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,133,15,0,1775,17.75,10000,10000
2,147,11,0,1790,17.66505477153854,10133,10133
3,151,12,0,1801,17.519455252918288,10280,10280
4,173,19,0,1813,17.380883903748444,10431,10431
5,156,20,0,1832,17.276499434175783,10604,10604
6,182,16,0,1852,17.21189591078067,10760,10760
7,149,17,0,1868,17.071833302869678,10942,10942
8,145,12,0,1885,16.99576232981697,11091,11091
9,156,18,0,1897,16.88323246707013,11236,11236
10,175,14,0,1915,16.81004213483146,11392,11392
11,167,14,0,1929,16.67675283133051,11567,11567
12,176,17,0,1943,16.55871825464462,11734,11734
13,178,19,0,1960,16.456759026028546,11910,11910
14,211,14,0,1979,16.37160820648577,12088,12088
15,186,14,0,1993,16.204569477193267,12299,12299
16,202,16,0,2007,16.0752903484181,12485,12485
17,193,24,0,2023,15.945455978560732,12687,12687
18,213,21,0,2047,15.892857142857142,12880,12880
19,211,21,0,2068,15.794699457725503,13093,13093
20,217,22,0,2089,15.70204449789537,13304,13304
21,233,23,0,2111,15.612750536202944,13521,13521
22,207,16,0,2132,15.500945179584122,13743,13754
23,235,24,0,2139,15.32125205930807,13911,13961
24,232,27,0,2151,15.152155536770923,14095,14196
25,191,21,0,2163,14.991682838924314,14243,14428
26,210,17,0,2164,14.802654080306452,14321,14619
27,192,21,0,2164,14.59302717647852,14394,14829
28,195,18,0,2154,14.339924106251248,14404,15021
29,199,24,0,2148,14.11671924290221,14422,15216
30,223,16,0,2135,13.850145961725591,14426,15415
31,235,23,0,2126,13.595088886046808,14469,15638
32,212,27,0,2117,13.337113337113337,14521,15873
33,243,27,0,2109,13.111594653403793,14533,16085
34,198,19,0,2107,12.90421362077413,14594,16328
35,197,12,0,2084,12.610432046472225,14566,16526
36,192,19,0,2057,12.300424564970399,14583,16723
37,209,25,0,2033,12.018918120011824,14570,16915
38,237,29,0,2026,11.831347815930856,14591,17124
39,206,24,0,2020,11.63527446575658,14640,17361
40,236,25,0,2000,11.38498320714977,14645,17567
41,249,30,0,1994,11.2003594899736,14701,17803
42,205,24,0,1988,11.012630179481498,14743,18052
43,251,37,0,1973,10.806813824834311,14746,18257
44,251,36,0,1972,10.654851955910956,14797,18508
