Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,172,0,0,91,0.91,10000,10000
2,159,0,0,91,0.8946126622099883,10172,10172
3,163,1,0,91,0.8808440615622883,10331,10331
4,162,1,0,92,0.8766914427291785,10494,10494
5,150,0,0,93,0.8727477477477477,10656,10656
6,156,1,0,93,0.8606329816768461,10806,10806
7,188,0,0,94,0.8575077540594781,10962,10962
8,194,0,0,94,0.8430493273542601,11150,11150
9,151,3,0,94,0.8286318758815232,11344,11344
10,190,0,0,97,0.8438451500652459,11495,11495
11,157,0,0,97,0.8301240907145914,11685,11685
12,197,0,0,97,0.8191183921634858,11842,11842
13,178,1,0,97,0.8057147603621563,12039,12039
14,160,0,0,98,0.8021609233035933,12217,12217
15,205,0,0,98,0.7917912256604993,12377,12377
16,196,1,0,98,0.7788904784612939,12582,12582
17,199,0,0,99,0.7747691344498356,12778,12778
18,220,0,0,99,0.7628881867920166,12977,12977
19,200,1,0,99,0.7501704932939305,13197,13197
20,218,1,0,100,0.7464357692020602,13397,13397
21,231,1,0,101,0.7418288652221814,13615,13615
22,201,1,0,102,0.7366748519427994,13836,13846
23,212,0,0,102,0.7261336940271944,13993,14047
24,221,0,0,102,0.7153376814643384,14150,14259
25,223,0,0,102,0.7044198895027625,14282,14480
26,243,1,0,100,0.6801333061280012,14379,14703
27,215,1,0,101,0.675766091261876,14471,14946
28,223,0,0,101,0.6661829694611173,14489,15161
29,237,0,0,100,0.6500260010400416,14551,15384
30,200,0,0,97,0.6209589654951667,14607,15621
31,203,1,0,95,0.6004677327602553,14614,15821
32,217,2,0,95,0.5928607089365951,14649,16024
33,238,1,0,96,0.5910966073517641,14695,16241
34,202,0,0,94,0.5704229625584076,14727,16479
35,249,2,0,91,0.5455308434746118,14738,16681
36,221,1,0,91,0.5375073833431778,14792,16930
37,219,0,0,91,0.5305813072124075,14829,17151
38,249,0,0,90,0.5181347150259068,14865,17370
39,219,1,0,86,0.48810942732277657,14918,17619
40,229,1,0,84,0.4709048099562731,14954,17838
41,246,1,0,82,0.45386616483090714,14991,18067
42,255,1,0,81,0.44230874242341506,15008,18313
43,260,1,0,78,0.4200775527789745,15034,18568
44,259,0,0,75,0.39834289356277885,15095,18828
45,207,1,0,73,0.38245926546864356,15162,19087
46,264,1,0,73,0.37835596558515605,15174,19294
47,201,1,0,72,0.3681358012066674,15227,19558
48,248,0,0,71,0.35932992560352245,15248,19759
49,200,1,0,71,0.3548757934722847,15279,20007
50,229,2,0,70,0.34641460879893105,15287,20207
51,234,0,0,71,0.3474261107848894,15326,20436
52,233,1,0,68,0.32897919690372524,15375,20670
53,232,0,0,69,0.33009615844615603,15409,20903
54,266,1,0,69,0.32647267565649396,15464,21135
55,217,1,0,70,0.32708751927480023,15531,21401
56,265,0,0,71,0.32843001202701455,15563,21618
57,236,3,0,67,0.30617374217429055,15619,21883
58,256,4,0,67,0.30290700302907003,15655,22119
59,257,0,0,69,0.30837988826815643,15686,22375
60,233,1,0,68,0.30045952633439377,15745,22632
61,236,1,0,69,0.30177126612726873,15759,22865
