generation,calculated_children,children_created,random_event_child,homosexuals,alive_population,total_population
0,0,0,85,100,100,
1,2,2,2,87,102,102,
2,2,2,2,88,104,104,
3,2,2,2,89,106,106,
4,2,2,2,90,108,108,
5,2,2,2,90,110,110,
6,2,2,1,90,111,111,
7,2,2,2,90,113,113,
8,2,2,2,91,115,115,
9,2,2,2,91,117,117,
10,2,2,2,91,119,119,
11,2,2,2,91,121,121,
12,2,2,1,92,122,122,
13,2,2,1,92,123,123,
14,2,2,1,92,124,124,
15,2,2,2,92,126,126,
16,3,3,3,93,129,129,
17,3,3,1,93,130,130,
18,3,3,1,94,131,131,
19,3,3,3,95,134,134,
20,3,3,2,97,136,136,
21,3,3,2,98,138,138,
22,3,3,3,98,141,141,
23,3,3,2,98,143,143,
24,3,3,2,98,145,145,
25,3,3,3,98,148,148,
26,3,3,2,98,150,150,
27,3,3,2,98,152,152,
28,3,3,1,98,153,153,
29,3,3,3,99,156,156,
30,3,3,2,100,158,158,
31,3,3,0,100,161,161,
32,3,3,0,100,164,164,
33,3,3,1,101,167,167,
34,3,3,1,101,170,170,
35,3,3,1,103,173,173,
36,3,3,2,104,176,176,
37,3,3,2,105,178,178,
38,3,3,3,106,181,181,
39,3,3,0,107,184,184,
40,3,3,0,108,186,186,
41,3,3,2,109,189,189,
42,4,4,1,109,192,192,
43,4,4,3,109,195,195,
44,4,4,2,109,199,199,
45,4,4,3,110,202,202,
46,4,4,2,110,205,205,
47,4,4,1,110,209,209,
48,4,4,1,111,212,212,
49,4,4,2,112,215,215,
50,4,4,4,113,219,219,
51,4,4,2,110,219,223,
52,4,4,0,103,213,226,
53,4,4,2,91,202,229,
54,4,4,2,79,192,233,
55,4,4,1,69,182,237,
56,4,4,1,60,175,241,
57,4,4,1,47,162,244,
58,4,4,2,44,162,248,
59,4,4,2,41,161,252,
60,5,5,1,37,159,256,
61,5,5,2,37,161,259,
62,5,5,0,39,165,263,
63,5,5,0,39,168,267,
64,5,5,2,39,173,272,
65,5,5,3,40,177,277,
66,5,5,2,41,182,282,
67,5,5,1,42,187,287,
68,5,5,0,42,192,292,
69,5,5,3,45,197,297,
70,5,5,3,45,202,302,
71,6,6,2,46,208,308,
72,5,5,2,47,213,313,
73,6,6,2,48,219,319,
74,6,6,0,49,224,324,
75,6,6,3,50,230,330,
76,6,6,4,51,234,336,
77,6,6,3,52,238,342,
78,6,6,3,53,242,347,
79,6,6,1,53,245,352,
80,7,7,1,54,250,357,
81,6,6,3,54,253,363,
82,6,6,4,56,259,369,
83,7,7,2,57,263,376,
84,7,7,4,57,268,383,
85,7,7,3,57,271,390,
86,7,7,2,57,276,397,
87,7,7,2,59,282,404,
88,7,7,1,59,288,411,
89,8,8,3,61,293,418,
90,8,8,3,61,300,426,
91,8,8,3,62,307,434,
92,7,7,1,64,313,441,
93,8,8,2,64,318,448,
94,8,8,1,64,324,456,
95,9,9,2,65,333,465,
96,9,9,1,64,339,473,
97,8,8,2,65,340,477,
98,8,8,1,64,341,482,
99,8,8,1,64,345,488,
100,8,8,6,64,352,496,
101,9,9,3,64,355,504,
102,9,9,4,67,363,513,
103,9,9,4,69,370,521,
104,9,9,2,70,377,529,
105,10,10,1,70,386,539,
106,10,10,4,72,392,548,
107,10,10,3,71,399,558,
108,11,11,3,72,404,567,
109,11,11,2,73,415,578,
110,10,10,2,73,423,588,
111,11,11,1,73,431,597,
112,11,11,1,72,438,608,
113,10,10,3,74,445,617,
114,10,10,3,73,451,627,
115,11,11,2,74,456,638,
116,12,12,4,75,465,650,
117,11,11,1,72,472,661,
118,13,13,1,72,479,671,
119,13,13,3,74,486,682,
120,12,12,4,75,492,694,
121,12,12,3,75,498,705,
122,12,12,1,75,508,717,
123,14,14,2,74,520,731,
124,12,12,3,73,525,742,
125,12,12,4,75,536,754,
126,13,13,5,76,545,766,
127,15,15,4,79,555,780,
128,13,13,4,81,567,793,
129,14,14,2,81,580,807,
130,13,13,6,82,588,819,
131,16,16,0,81,596,833,
132,15,15,4,80,607,848,
133,16,16,5,76,615,863,
134,15,15,2,75,625,877,
135,17,17,5,75,642,894,
136,17,17,3,76,652,910,
137,15,15,2,76,664,924,
138,16,16,4,75,673,939,
139,18,18,5,74,685,957,
140,17,17,3,76,699,974,
141,18,18,4,78,714,991,
142,17,17,5,76,725,1007,
143,20,20,2,77,739,1026,
144,17,17,1,76,751,1043,
145,20,20,4,78,766,1063,
146,19,19,3,79,778,1081,
147,21,21,4,81,796,1101,
148,20,20,1,80,808,1121,
149,18,18,5,80,818,1135,
150,20,20,1,77,831,1155,
151,23,23,3,77,847,1178,
152,23,23,1,76,864,1200,
153,22,22,3,75,882,1222,
154,23,23,2,76,898,1244,
155,22,22,4,75,913,1265,
156,24,24,4,74,930,1289,
157,21,21,1,74,946,1308,
158,24,24,1,73,964,1331,
159,23,23,4,74,978,1353,
160,27,27,3,75,1001,1380,
161,23,23,2,75,1019,1403,
162,25,25,5,77,1033,1427,
163,28,28,5,76,1046,1455,
164,25,25,1,75,1066,1479,
165,29,29,1,76,1091,1507,
166,30,30,5,75,1109,1535,
167,29,29,2,74,1134,1564,
168,26,26,2,71,1150,1589,
169,28,28,2,70,1172,1617,
170,30,30,0,70,1192,1647,
171,29,29,0,70,1211,1675,
172,33,33,4,72,1236,1706,
173,31,31,2,72,1263,1737,
174,29,29,5,72,1282,1765,
175,29,29,6,73,1306,1794,
176,31,31,3,72,1326,1822,
177,30,30,4,68,1343,1851,
178,32,32,1,69,1367,1883,
179,31,31,3,68,1389,1913,
180,35,35,7,70,1415,1948,
181,36,36,3,71,1445,1984,
182,35,35,1,71,1471,2019,
183,33,33,1,71,1495,2052,
184,33,33,4,73,1515,2085,
185,35,35,2,73,1541,2118,
186,38,38,1,73,1566,2153,
187,41,41,4,72,1599,2194,
188,40,40,1,72,1628,2234,
189,37,37,1,73,1656,2270,
190,40,40,0,72,1681,2310,
191,37,37,0,72,1713,2347,
192,40,40,5,71,1743,2386,
193,41,41,2,70,1769,2427,
194,47,47,1,69,1806,2471,
195,40,40,3,69,1832,2510,
196,49,49,0,68,1867,2559,
197,42,42,2,69,1893,2600,
198,48,48,1,69,1925,2644,
199,44,44,1,67,1957,2688,
200,49,49,1,66,1992,2734,
201,53,53,5,65,2035,2787,
202,55,55,4,64,2078,2842,
203,50,50,4,62,2113,2891,
204,55,55,3,60,2151,2945,
205,53,53,3,60,2194,2997,
206,59,59,2,59,2240,3056,
207,60,60,3,61,2287,3116,
208,58,58,3,62,2331,3173,
209,54,54,2,64,2363,3225,
210,62,62,4,64,2413,3285,
211,53,53,2,64,2450,3337,
212,63,63,0,64,2490,3399,
213,63,63,4,64,2539,3462,
214,57,57,2,65,2581,3519,
215,67,67,1,64,2631,3585,
216,62,62,1,62,2672,3647,
217,64,64,3,61,2717,3709,
218,62,62,2,60,2762,3770,
219,65,65,1,56,2810,3835,
220,74,74,4,55,2868,3908,
221,78,78,2,55,2924,3985,
222,67,67,0,54,2974,4052,
223,80,80,2,53,3042,4132,
224,79,79,3,54,3098,4211,
225,73,73,1,53,3154,4282,
226,85,85,1,52,3210,4367,
227,77,77,3,52,3261,4439,
228,85,85,3,52,3323,4522,
229,76,76,2,52,3378,4597,
230,78,78,1,52,3438,4673,
231,84,84,3,52,3502,4757,
232,77,77,2,52,3561,4834,
233,85,85,2,52,3626,4919,
234,98,98,1,51,3703,5016,
235,84,84,2,49,3753,5099,
236,90,90,2,49,3817,5188,
237,100,100,3,47,3882,5287,
238,90,90,2,47,3949,5376,
239,104,104,1,47,4033,5480,
240,93,93,1,45,4103,5572,
241,105,105,0,45,4176,5675,
242,93,93,3,45,4248,5768,
243,99,99,0,45,4326,5867,
244,114,114,3,44,4407,5981,
245,101,101,1,44,4469,6082,
246,106,106,0,44,4548,6187,
247,105,105,1,43,4616,6292,
248,125,125,1,42,4722,6417,
249,117,117,3,41,4818,6534,
250,119,119,1,40,4899,6653,
251,115,115,1,41,4980,6768,
252,121,121,3,40,5075,6889,
253,115,115,3,38,5158,7004,
254,114,114,0,37,5247,7118,
255,127,127,3,36,5342,7244,
256,127,127,1,35,5430,7370,
257,143,143,1,35,5549,7513,
258,130,130,2,35,5649,7643,
259,123,123,2,33,5731,7766,
260,139,139,0,32,5827,7904,
261,127,127,1,32,5912,8031,
262,152,152,1,30,6029,8182,
263,155,155,1,29,6143,8337,
264,149,149,1,29,6256,8486,
265,140,140,0,28,6357,8626,
266,141,141,1,28,6463,8767,
267,147,147,0,28,6572,8914,
268,149,149,2,28,6676,9063,
269,146,146,1,28,6776,9209,
270,181,181,1,28,6916,9389,
271,168,168,3,28,7049,9557,
272,162,162,1,28,7174,9719,
273,193,193,0,27,7327,9912,
274,183,183,1,25,7463,10093,
275,188,188,0,26,7605,10281,
276,177,177,1,25,7727,10457,
277,173,173,1,26,7855,10630,
278,212,212,0,26,8022,10842,
279,208,208,1,26,8188,11050,
280,179,179,1,26,8307,11228,
281,198,198,1,26,8446,11425,
282,196,196,0,26,8580,11621,
283,197,197,0,25,8713,11818,
284,210,210,2,25,8873,12028,
285,196,196,0,24,9021,12224,
286,205,205,0,24,9171,12427,
287,220,220,0,23,9337,12646,
288,222,222,0,20,9495,12868,
289,244,244,0,20,9665,13112,
290,249,249,0,19,9852,13361,
291,248,248,0,19,10040,13609,
292,233,233,0,19,10211,13840,
293,231,231,0,19,10369,14071,
294,253,253,0,19,10564,14324,
295,280,280,1,19,10777,14602,
296,254,254,0,18,10965,14856,
297,271,271,0,18,11168,15127,
298,269,269,0,18,11354,15396,
299,273,273,0,18,11563,15669,
300,278,278,1,17,11768,15947,
301,296,296,0,17,11970,16243,
302,308,308,1,16,12202,16551,
303,271,271,0,15,12405,16822,
304,274,274,0,15,12594,17096,
305,337,337,0,15,12871,17433,
306,327,327,0,15,13109,17760,
307,329,329,1,15,13345,18089,
308,353,353,2,16,13622,18441,
309,362,362,0,16,13882,18803,
310,322,322,1,16,14131,19125,
311,352,352,1,15,14394,19476,
312,375,375,0,15,14668,19851,
313,337,337,0,14,14913,20187,
314,351,351,0,14,15173,20538,
315,405,405,2,14,15491,20943,
316,386,386,1,14,15791,21329,
317,361,361,1,13,16045,21690,
318,397,397,0,13,16339,22087,
319,393,393,0,13,16631,22480,
320,367,367,0,12,16871,22847,
321,373,373,0,12,17146,23220,
322,400,400,0,11,17425,23619,
323,426,426,0,11,17755,24045,
324,408,408,0,11,18058,24453,
325,418,418,0,11,18372,24871,
326,429,429,0,11,18696,25300,
327,454,454,0,10,19026,25753,
328,504,504,0,10,19409,26257,
329,474,474,0,10,19766,26731,
330,478,478,0,9,20129,27209,
331,496,496,1,9,20503,27705,
332,508,508,1,9,20881,28213,
333,554,554,0,8,21302,28767,
334,499,499,0,8,21673,29266,
335,554,554,0,8,22079,29820,
336,490,490,0,7,22433,30310,
337,585,585,0,7,22889,30895,
338,529,529,0,7,23263,31424,
339,538,538,0,7,23667,31962,
340,608,608,0,7,24110,32570,
341,576,576,0,7,24533,33146,
342,629,629,0,7,25024,33775,
343,578,578,0,7,25451,34353,
344,624,624,0,7,25928,34977,
345,617,617,0,6,26371,35594,
346,682,682,1,6,26898,36276,
347,686,686,0,6,27422,36962,
348,691,691,1,6,27932,37653,
349,729,729,0,5,28486,38382,
350,617,617,0,5,28939,38999,
351,698,698,1,3,29442,39697,
352,680,680,0,3,29952,40377,
353,732,732,0,3,30493,41109,
354,818,818,0,3,31130,41927,
355,684,684,0,3,31637,42611,
356,816,816,0,3,32258,43427,
357,808,808,0,2,32864,44235,
358,812,812,0,2,33489,45047,
359,796,796,0,2,34073,45843,
360,793,793,0,2,34653,46636,
361,841,841,0,2,35288,47477,
362,833,833,0,2,35919,48310,
363,867,867,0,2,36571,49177,
364,840,840,0,2,37167,50017,
365,837,837,0,2,37780,50854,
366,814,814,0,2,38347,51668,
367,941,941,0,2,39052,52609,
368,980,980,0,2,39803,53589,
369,865,865,0,2,40431,54454,
370,938,938,0,2,41123,55392,
371,1044,1044,0,2,41912,56436,
372,913,913,0,2,42565,57349,
373,1103,1103,0,2,43400,58452,
374,1140,1140,0,2,44277,59592,
375,980,980,0,2,44969,60572,
376,1006,1006,0,2,45697,61578,
377,1062,1062,0,2,46472,62640,
378,1084,1084,0,2,47276,63724,
379,1143,1143,0,1,48114,64867,
380,1209,1209,0,1,49025,66076,
381,1106,1106,0,1,49830,67182,
382,1270,1270,0,0,50793,68452,
383,1160,1160,0,0,51598,69612,
384,1296,1296,0,0,52570,70908,
385,1322,1322,0,0,53553,72230,
386,1226,1226,0,0,54431,73456,
387,1187,1187,0,0,55278,74643,
388,1365,1365,0,0,56302,76008,
389,1343,1343,0,0,57295,77351,
390,1294,1294,0,0,58190,78645,
391,1420,1420,0,0,59268,80065,
392,1379,1379,0,0,60267,81444,
393,1561,1561,0,0,61441,83005,
394,1375,1375,0,0,62407,84380,
395,1401,1401,0,0,63443,85781,
396,1493,1493,0,0,64539,87274,
397,1658,1658,0,0,65800,88932,
398,1463,1463,0,0,66849,90395,
399,1746,1746,0,0,68212,92141,
400,1820,1820,0,0,69608,93961,
401,1762,1762,0,0,70933,95723,
402,1620,1620,0,0,72121,97343,
403,1772,1772,0,0,73437,99115,
404,1803,1803,0,0,74763,100918,
405,1668,1668,0,0,75947,102586,
406,1646,1646,0,0,77098,104232,
407,2039,2039,0,0,78677,106271,
408,2110,2110,0,0,80296,108381,
409,1874,1874,0,0,81647,110255,
410,2181,2181,0,0,83289,112436,
411,2241,2241,0,0,85000,114677,
412,2040,2040,0,0,86523,116717,
413,2024,2024,0,0,88026,118741,
414,2240,2240,0,0,89686,120981,
415,2314,2314,0,0,91444,123295,
