Initial population: 100,000
Initial homosexuals: 5%
Children per generation: 0.02 to 0.016 % of total population
Random event chance: 50%
Death range: 70 to 90 years old
Breeding ages: 20 to 50 years old
Run off: 50 years

generation,calculated_children,children_created,random_event_child,homosexuals,alive_population,total_population
0,0,0,5648,100000,100000,
1,1947,1947,189,5652,101947,101947,
2,1829,1829,208,5656,103776,103776,
3,1967,1967,211,5660,105743,105743,
4,1771,1771,198,5665,107514,107514,
5,2055,2055,237,5670,109569,109569,
6,1798,1798,178,5675,111367,111367,
7,2132,2132,242,5676,113499,113499,
8,2152,2152,214,5683,115651,115651,
9,2127,2127,215,5686,117778,117778,
10,2097,2097,237,5697,119875,119875,
11,2386,2386,273,5702,122261,122261,
12,2244,2244,260,5709,124505,124505,
13,2375,2375,269,5711,126880,126880,
14,2526,2526,278,5715,129406,129406,
15,2140,2140,216,5717,131546,131546,
16,2175,2175,258,5723,133721,133721,
17,2536,2536,280,5729,136257,136257,
18,2416,2416,267,5735,138673,138673,
19,2369,2369,247,5743,141042,141042,
20,2813,2813,305,5750,143855,143855,
21,2568,2568,260,5755,146423,146423,
22,2598,2598,294,5765,149021,149021,
23,2910,2910,309,5770,151931,151931,
24,3011,3011,323,5778,154942,154942,
25,2512,2512,263,5788,157454,157454,
26,3000,3000,315,5789,160454,160454,
27,2661,2661,251,5797,163115,163115,
28,3021,3021,296,5802,166136,166136,
29,3042,3042,283,5806,169178,169178,
30,3258,3258,20,5812,172436,172436,
31,3383,3383,18,5814,175819,175819,
32,3207,3207,14,5815,179026,179026,
33,2894,2894,9,5817,181920,181920,
34,3018,3018,15,5819,184938,184938,
35,3626,3626,17,5821,188564,188564,
36,3063,3063,12,5823,191627,191627,
37,3707,3707,15,5823,195334,195334,
38,3487,3487,17,5825,198821,198821,
39,3553,3553,18,5826,202374,202374,
40,3587,3587,18,5828,205961,205961,
41,3840,3840,14,5830,209801,209801,
42,3829,3829,14,5833,213630,213630,
43,3998,3998,24,5837,217628,217628,
44,4002,4002,20,5838,221630,221630,
45,3691,3691,14,5843,225321,225321,
46,4014,4014,17,5846,229335,229335,
47,4460,4460,20,5847,233795,233795,
48,4453,4453,22,5852,238248,238248,
49,3994,3994,26,5856,242242,242242,
50,3892,3892,14,5858,246134,246134,
51,3969,3969,21,5554,245050,250103,
52,4866,4866,15,5016,240439,254969,
53,4590,4590,19,4331,232206,259559,
54,4938,4938,20,3444,222550,264497,
55,5234,5234,23,2646,213466,269731,
56,4580,4580,19,1923,204864,274311,
57,4735,4735,13,1360,198996,279046,
58,4818,4818,23,903,195825,283864,
59,4625,4625,20,613,195109,288489,
60,5633,5633,16,420,197418,294122,
61,4811,4811,19,318,200421,298933,
62,5161,5161,16,265,204705,304094,
63,5817,5817,20,248,210147,309911,
64,5366,5366,7,241,215350,315277,
65,6247,6247,24,239,221542,321524,
66,6117,6117,13,240,227645,327641,
67,5895,5895,8,243,233537,333536,
68,5992,5992,10,243,239528,339528,
69,5643,5643,15,243,245171,345171,
70,6817,6817,15,245,251988,351988,
71,5636,5636,6,248,257624,357624,
72,6769,6769,19,248,264393,364393,
73,7062,7062,18,247,271352,371455,
74,6487,6487,5,247,277584,377942,
75,6535,6535,11,246,283604,384477,
76,6573,6573,7,245,289345,391050,
77,7619,7619,16,236,295928,398669,
78,7181,7181,8,235,301818,405850,
79,6788,6788,7,236,307067,412638,
80,7485,7485,12,233,312819,420123,
81,8256,8256,11,232,319243,428379,
82,7546,7546,7,230,324842,435925,
83,7520,7520,8,228,330337,443445,
84,8261,8261,13,225,336464,451706,
85,8374,8374,8,222,342743,460080,
86,8369,8369,7,212,348911,468449,
87,8419,8419,10,204,355049,476868,
88,8752,8752,8,196,361527,485620,
89,8888,8888,5,190,368157,494508,
90,8785,8785,4,186,374675,503293,
91,8195,8195,9,182,380525,511488,
92,9602,9602,7,178,387791,521090,
93,10110,10110,11,175,395474,531200,
94,8500,8500,5,169,401512,539700,
95,9321,9321,4,166,408380,549021,
96,9819,9819,6,165,415617,558840,
97,11093,11093,8,157,424035,569933,
98,9801,9801,4,150,431194,579734,
99,10907,10907,6,142,439388,590641,
100,11054,11054,11,137,447710,601695,
101,9696,9696,3,129,454566,611391,
102,10393,10393,5,123,462070,621784,
103,12265,12265,4,120,471451,634049,
104,10324,10324,8,115,478765,644373,
105,11954,11954,2,107,487720,656327,
106,11657,11657,4,106,496311,667984,
107,11808,11808,3,103,505031,679792,
108,11026,11026,3,99,512934,690818,
109,12602,12602,4,97,522322,703420,
110,13769,13769,1,96,532882,717189,
111,12510,12510,3,94,542110,729699,
112,11942,11942,3,92,550626,741641,
113,13597,13597,2,89,560845,755238,
114,12258,12258,4,89,569723,767496,
115,14509,14509,5,87,580513,782005,
116,14747,14747,1,86,591524,796752,
