generation,calculated_children,children_created,random_event_child,homosexuals,alive_population,total_population
0,0,0,50241,100000,100000,
1,1977,1977,1503,50248,101977,101977,
2,1795,1795,1342,50255,103772,103772,
3,1766,1766,1332,50263,105538,105538,
4,2091,2091,1581,50266,107629,107629,
5,2100,2100,1587,50273,109729,109729,
6,1788,1788,1357,50274,111517,111517,
7,1853,1853,1399,50276,113370,113370,
8,1953,1953,1474,50284,115323,115323,
9,1909,1909,1423,50286,117232,117232,
10,1980,1980,1455,50291,119212,119212,
11,2367,2367,1759,50297,121579,121579,
12,2269,2269,1717,50302,123848,123848,
13,2459,2459,1818,50308,126307,126307,
14,2519,2519,1898,50312,128826,128826,
15,2197,2197,1656,50318,131023,131023,
16,2224,2224,1673,50324,133247,133247,
17,2174,2174,1608,50329,135421,135421,
18,2393,2393,1782,50341,137814,137814,
19,2225,2225,1692,50348,140039,140039,
20,2541,2541,1926,50349,142580,142580,
21,2340,2340,1678,50358,144920,144920,
22,2691,2691,2000,50365,147611,147611,
23,2799,2799,2027,50371,150410,150410,
24,2906,2906,2064,50378,153316,153316,
25,2603,2603,1852,50382,155919,155919,
26,2904,2904,2005,50388,158823,158823,
27,2984,2984,1992,50396,161807,161807,
28,3088,3088,2112,50409,164895,164895,
29,3128,3128,2089,50417,168023,168023,
30,2940,2940,18,50417,170963,170963,
31,2763,2763,16,50418,173726,173726,
32,3086,3086,16,50420,176812,176812,
33,2889,2889,14,50422,179701,179701,
34,2993,2993,16,50423,182694,182694,
35,2949,2949,19,50426,185643,185643,
36,3061,3061,12,50428,188704,188704,
37,3407,3407,16,50432,192111,192111,
38,3458,3458,19,50433,195569,195569,
39,3141,3141,25,50435,198710,198710,
40,3823,3823,16,50442,202533,202533,
41,3416,3416,17,50442,205949,205949,
42,3363,3363,12,50445,209312,209312,
43,3498,3498,14,50448,212810,212810,
44,4107,4107,31,50450,216917,216917,
45,4032,4032,16,50453,220949,220949,
46,4172,4172,12,50455,225121,225121,
47,4167,4167,16,50455,229288,229288,
48,3673,3673,19,50456,232961,232961,
49,3890,3890,17,50458,236851,236851,
50,3938,3938,21,50460,240789,240789,
51,4066,4066,17,48069,239986,244855,
52,4866,4866,17,43201,235087,249721,
53,4318,4318,19,36768,226634,254039,
54,5007,5007,21,29446,217107,259046,
55,4245,4245,15,22143,206822,263291,
56,5214,5214,26,15583,199044,268505,
57,5053,5053,18,10273,193414,273558,
58,5293,5293,20,6270,190780,278851,
59,5189,5189,24,3522,190526,284040,
60,5274,5274,19,1895,192584,289314,
61,4680,4680,18,988,195456,293994,
62,5697,5697,12,530,200261,299691,
63,5804,5804,18,352,205706,305495,
64,5285,5285,17,289,210851,310780,
65,5128,5128,13,260,215929,315908,
66,5850,5850,24,250,221761,321758,
67,6159,6159,20,251,227918,327917,
68,5545,5545,14,251,233462,333462,
69,5741,5741,11,253,239203,339203,
70,5970,5970,16,253,245173,345173,
71,6793,6793,13,253,251966,351966,
72,6109,6109,16,255,258075,358075,
73,6617,6617,15,258,264584,364692,
74,6120,6120,12,258,270417,370812,
75,6320,6320,10,258,276227,377132,
76,6308,6308,17,259,281753,383440,
