Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,153,17,0,1878,18.78,10000,10000
2,140,13,0,1895,18.664434157391906,10153,10153
3,160,21,0,1908,18.53686971728359,10293,10293
4,141,11,0,1929,18.45403233521477,10453,10453
5,141,14,0,1940,18.31225221823674,10594,10594
6,181,19,0,1954,18.202142524452725,10735,10735
7,186,18,0,1973,18.074386222059363,10916,10916
8,159,17,0,1991,17.93370563862367,11102,11102
9,149,18,0,2008,17.831453689725603,11261,11261
10,174,14,0,2026,17.756354075372478,11410,11410
11,164,22,0,2040,17.61049723756906,11584,11584
12,186,14,0,2062,17.551923731699013,11748,11748
13,182,18,0,2076,17.39567621920563,11934,11934
14,186,29,0,2094,17.282931660614064,12116,12116
15,168,23,0,2123,17.25735652739392,12302,12302
16,201,16,0,2146,17.209302325581397,12470,12470
17,175,20,0,2162,17.06258385289243,12671,12671
18,216,26,0,2182,16.985832165654678,12846,12846
19,173,26,0,2208,16.90399632521819,13062,13062
20,219,19,0,2234,16.879486210804686,13235,13235
21,228,25,0,2253,16.745949160101084,13454,13454
22,210,19,0,2276,16.63499488378892,13672,13682
23,184,18,0,2286,16.45551396487187,13843,13892
24,245,24,0,2293,16.29013924410344,13972,14076
25,213,21,0,2303,16.081279240276515,14142,14321
26,243,28,0,2301,15.831842576028624,14229,14534
27,201,23,0,2301,15.571496244163226,14324,14777
28,251,32,0,2293,15.309120042729335,14368,14978
29,191,24,0,2295,15.069932365880886,14440,15229
30,206,21,0,2289,14.844357976653697,14455,15420
31,213,19,0,2263,14.48227313451939,14470,15626
32,239,27,0,2244,14.167561083401731,14499,15839
33,197,21,0,2238,13.919641746485881,14554,16078
34,199,23,0,2221,13.646697388632873,14520,16275
35,202,24,0,2197,13.336166079883451,14518,16474
36,195,27,0,2185,13.102662508994964,14511,16676
37,199,19,0,2179,12.91565408096734,14519,16871
38,243,29,0,2155,12.62448740480375,14496,17070
39,241,34,0,2139,12.354877837463178,14508,17313
40,196,28,0,2135,12.162470092286657,14542,17554
