Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,143,1,0,110,1.0999999999999999,10000,10000
2,150,0,0,111,1.0943507837917774,10143,10143
3,167,0,0,111,1.0784027980180706,10293,10293
4,143,0,0,111,1.0611854684512427,10460,10460
5,180,0,0,111,1.046873526360464,10603,10603
6,147,0,0,111,1.0293981266808865,10783,10783
7,157,0,0,111,1.0155535224153704,10930,10930
8,159,0,0,111,1.0011725444213944,11087,11087
9,160,2,0,111,0.9870176062600036,11246,11246
10,172,0,0,113,0.9907066456251097,11406,11406
11,195,0,0,113,0.9759889445500087,11578,11578
12,171,1,0,113,0.9598233245561879,11773,11773
13,203,0,0,114,0.9544541192230409,11944,11944
14,198,0,0,114,0.9385033341565818,12147,12147
15,194,0,0,114,0.9234507897934386,12345,12345
16,196,0,0,114,0.9091634101602998,12539,12539
17,177,0,0,114,0.8951707891637221,12735,12735
18,217,1,0,114,0.8828996282527881,12912,12912
19,225,2,0,115,0.8759235280676365,13129,13129
20,175,1,0,117,0.8761419799311068,13354,13354
21,218,1,0,118,0.8722004582748171,13529,13529
22,191,0,0,119,0.8656434131083145,13738,13747
23,237,0,0,119,0.8537810302769406,13899,13938
24,186,1,0,119,0.8395061728395061,14077,14175
25,214,0,0,120,0.8355964069354502,14176,14361
26,237,0,0,119,0.8164665523156089,14270,14575
27,232,0,0,116,0.7831487982716717,14352,14812
28,242,0,0,115,0.7644243552246742,14421,15044
29,217,1,0,110,0.7196127175192987,14478,15286
30,246,1,0,110,0.7095400890150294,14502,15503
31,236,2,0,111,0.704806654390755,14547,15749
32,236,1,0,111,0.6944010009383798,14606,15985
33,256,0,0,110,0.6781332840145491,14641,16221
34,204,0,0,107,0.64939005886994,14694,16477
35,228,1,0,104,0.6234638211138421,14701,16681
36,247,1,0,100,0.5914010290377906,14716,16909
37,231,2,0,100,0.5828864537188155,14768,17156
38,236,1,0,102,0.5866451946856848,14796,17387
39,210,0,0,99,0.5617658741417466,14841,17623
40,209,0,0,96,0.5383278192115741,14842,17833
41,205,1,0,95,0.5265491630639618,14862,18042
42,220,0,0,93,0.5096728229297967,14860,18247
43,237,1,0,89,0.48194075919207235,14874,18467
44,205,1,0,89,0.4758340461933276,14900,18704
45,196,0,0,86,0.4548098788936485,14898,18909
46,233,0,0,86,0.45014394137660296,14909,19105
47,239,0,0,85,0.43954907436136104,14951,19338
48,232,1,0,81,0.41375083005567753,14986,19577
49,204,0,0,80,0.4038568327527891,15021,19809
50,260,1,0,79,0.39474341677909364,15016,20013
51,239,0,0,78,0.38474818724411775,15088,20273
52,255,1,0,77,0.375390015600624,15129,20512
53,251,1,0,78,0.3755958973371214,15198,20767
54,221,1,0,76,0.36159482348463223,15246,21018
55,216,0,0,76,0.3578322896558218,15269,21239
56,239,0,0,72,0.33558611046376136,15284,21455
57,233,1,0,67,0.30884115423619435,15306,21694
58,259,1,0,67,0.3055593560450586,15342,21927
59,236,1,0,63,0.28396285946092126,15397,22186
60,237,0,0,63,0.280974043350281,15421,22422
61,228,0,0,60,0.26479544551833706,15468,22659
62,257,1,0,59,0.25778826408004546,15500,22887
63,205,0,0,58,0.2506049083995852,15561,23144
64,216,1,0,56,0.23983896526617843,15577,23349
65,207,0,0,54,0.22915340547422025,15592,23565
66,271,2,0,53,0.22295137136126536,15616,23772
67,252,1,0,51,0.21211995175310902,15694,24043
68,239,1,0,50,0.20580366330520683,15749,24295
69,250,1,0,50,0.2037988098149507,15779,24534
70,233,1,0,51,0.2057779212395094,15836,24784
71,240,1,0,50,0.19986409241715633,15878,25017
72,245,1,0,50,0.19796492061606685,15921,25257
73,253,0,0,51,0.19998431495568975,15976,25502
74,227,1,0,48,0.186371578334304,16039,25755
75,237,1,0,48,0.18474328381186975,16096,25982
76,236,0,0,48,0.1830733437583432,16143,26219
77,252,0,0,46,0.17388017388017388,16231,26455
78,274,1,0,44,0.16475081439323025,16287,26707
79,224,1,0,45,0.16678403320855417,16389,26981
80,274,0,0,44,0.16173497518838448,16462,27205
81,232,1,0,43,0.15648313257396557,16579,27479
82,283,2,0,44,0.15878171123380608,16649,27711
83,259,3,0,46,0.1643209259126956,16788,27994
84,279,3,0,49,0.17343290977949244,16868,28253
85,271,1,0,52,0.1822515070797701,16974,28532
86,284,0,0,53,0.1840086102142138,17078,28803
87,288,1,0,53,0.18221198473544883,17172,29087
88,245,1,0,53,0.1804255319148936,17269,29375
89,284,2,0,54,0.18230925050641458,17320,29620
90,267,0,0,55,0.1839218833600856,17401,29904
91,283,0,0,53,0.17566537403466906,17477,30171
92,235,0,0,53,0.17403296775464636,17573,30454
93,289,2,0,53,0.17270031607416336,17603,30689
94,293,0,0,53,0.17108916004906707,17705,30978
95,247,0,0,53,0.1694861053372134,17808,31271
96,297,1,0,53,0.16815787803794657,17835,31518
97,271,1,0,54,0.16973125884016974,17923,31815
98,309,0,0,53,0.16518107585862993,17987,32086
99,236,1,0,53,0.16360549467510418,18082,32395
100,294,3,0,54,0.1654868070239956,18078,32631
101,302,1,0,57,0.173120728929385,18178,32925
102,286,0,0,58,0.17455683630782196,18237,33227
103,316,1,0,57,0.1700832512756244,18292,33513
104,302,2,0,57,0.1684944869786278,18358,33829
105,281,1,0,58,0.16993349154727375,18435,34131
106,324,1,0,59,0.17145181913286064,18489,34412
107,276,1,0,58,0.1669737448180562,18575,34736
108,281,3,0,59,0.16851365246201302,18628,35012
109,250,0,0,61,0.1728388065622078,18684,35293
110,291,0,0,60,0.16880961089384688,18699,35543
111,274,1,0,60,0.16743874532566835,18766,35834
112,265,0,0,59,0.16339869281045752,18817,36108
113,284,1,0,59,0.16220823138041954,18836,36373
114,295,1,0,60,0.1636795155086341,18901,36657
115,307,2,0,61,0.16507902143321065,18971,36952
116,250,0,0,62,0.16640274832926272,19085,37259
117,307,1,0,61,0.1626276360340185,19141,37509
118,321,3,0,61,0.16130738311825682,19216,37816
119,285,2,0,64,0.16781603167527598,19289,38137
120,272,0,0,65,0.16917391078028213,19354,38422
121,269,1,0,65,0.16798470047035716,19399,38694
122,289,2,0,66,0.16939147396247722,19443,38963
123,316,0,0,68,0.17323958014878224,19497,39252
124,262,0,0,68,0.17185604528912252,19587,39568
125,288,0,0,67,0.16821491338187294,19599,39830
126,296,1,0,66,0.1645146816890174,19649,40118
127,332,0,0,66,0.16330974414806748,19728,40414
128,344,1,0,66,0.1619790899720218,19816,40746
129,326,0,0,66,0.1606230226332441,19936,41090
130,339,0,0,64,0.15452965037666602,20036,41416
131,330,0,0,63,0.15088013411567477,20112,41755
132,315,1,0,63,0.14969704170131876,20211,42085
133,326,0,0,63,0.14858490566037735,20307,42400
134,330,0,0,63,0.14745120067406264,20406,42726
135,348,0,0,63,0.1463210702341137,20488,43056
136,339,2,0,63,0.14514791263478022,20603,43404
137,329,2,0,65,0.1485952038040372,20694,43743
138,301,0,0,65,0.14748593211109093,20793,44072
139,359,0,0,65,0.14648547540170825,20884,44373
140,283,0,0,63,0.14083877313779844,21016,44732
141,308,2,0,62,0.13773186715539265,21046,45015
142,334,1,0,64,0.14120865785583478,21116,45323
143,360,1,0,65,0.1423659022712837,21181,45657
144,345,2,0,66,0.14342525588369515,21302,46017
145,282,0,0,67,0.14451490444760795,21416,46362
146,319,0,0,65,0.13935340022296544,21454,46644
147,342,0,0,64,0.13627749504929412,21521,46963
148,360,0,0,63,0.1331783109607864,21633,47305
149,343,1,0,63,0.1321724535822931,21784,47665
150,352,0,0,62,0.12914514247625394,21878,48008
151,347,3,0,62,0.1282051282051282,21976,48360
152,310,1,0,65,0.13345104399778265,22078,48707
153,297,1,0,65,0.1326070546953098,22126,49017
154,338,2,0,65,0.1318084114044693,22182,49314
155,325,2,0,65,0.13091114154515426,22268,49652
156,313,0,0,67,0.13406166836744904,22356,49977
157,326,1,0,65,0.1292503479817061,22386,50290
158,321,1,0,65,0.1284178915757863,22445,50616
159,360,0,0,64,0.12564540510827102,22477,50937
160,324,0,0,63,0.12281419966079887,22591,51297
161,347,0,0,62,0.1201061583464094,22677,51621
162,321,1,0,61,0.11737992610837439,22745,51968
163,379,1,0,62,0.11857178374036605,22781,52289
164,378,2,0,61,0.11581985266195792,22873,52668
165,341,0,0,61,0.11499453304678958,22972,53046
166,345,0,0,60,0.11238691067113717,23057,53387
167,356,0,0,60,0.11166530186853271,23143,53732
168,405,0,0,60,0.11093033574914953,23166,54088
169,322,0,0,60,0.11010588515956178,23308,54493
170,357,1,0,59,0.10763477150415032,23348,54815
171,387,0,0,60,0.10875081563111724,23428,55172
172,356,1,0,59,0.10619341600820748,23544,55559
173,376,0,0,58,0.10372887418402933,23602,55915
174,363,1,0,57,0.10125952638965377,23673,56291
175,362,0,0,57,0.1006107247502383,23739,56654
176,381,1,0,57,0.09997193770169778,23811,57016
177,339,1,0,58,0.10105057755631827,23902,57397
178,328,0,0,59,0.10218927532215602,23965,57736
179,356,0,0,59,0.10161201432901626,24012,58064
180,362,0,0,57,0.09756932557343376,24085,58420
181,393,1,0,56,0.09526725868463135,24181,58782
182,396,0,0,57,0.09632446134347275,24253,59175
183,345,0,0,57,0.09568414161252958,24358,59571
184,336,0,0,54,0.09012617664730622,24444,59916
185,329,0,0,49,0.08132510124145256,24491,60252
186,341,1,0,47,0.07758208019015864,24519,60581
187,322,2,0,47,0.07714782837070353,24604,60922
188,402,1,0,49,0.08000783750244922,24631,61244
189,393,2,0,48,0.07786393277747136,24748,61646
190,409,1,0,50,0.08059446477215945,24858,62039
191,329,1,0,50,0.0800666154240328,24977,62448
192,386,4,0,50,0.07964700447616165,25045,62777
193,329,0,0,54,0.08549308930861423,25138,63163
194,346,4,0,51,0.08032508032508033,25179,63492
195,381,0,0,54,0.08458911620038222,25220,63838
196,422,0,0,52,0.08097292078668307,25315,64219
197,405,3,0,52,0.08044430005723921,25453,64641
198,366,1,0,54,0.08301817175537313,25601,65046
199,355,0,0,55,0.08408243135816058,25662,65412
200,403,4,0,54,0.08210804810923411,25704,65767
201,346,0,0,58,0.0876530149614629,25792,66170
202,354,2,0,58,0.08719706536773107,25833,66516
203,368,2,0,60,0.08972633467922835,25858,66870
204,439,4,0,62,0.09220976233677385,25917,67238
205,390,0,0,66,0.09752205328250366,26029,67677
206,408,2,0,66,0.09696328617391688,26061,68067
207,352,2,0,67,0.09784592917123038,26139,68475
208,394,0,0,68,0.09879843666003166,26168,68827
209,437,1,0,67,0.0967914361248754,26224,69221
210,381,3,0,68,0.09761979959229378,26326,69658
211,407,0,0,71,0.10137209269121489,26412,70039
212,380,0,0,70,0.09936689095193481,26507,70446
213,354,1,0,69,0.09742185073278174,26575,70826
214,461,1,0,68,0.09553245293621804,26580,71180
215,354,0,0,68,0.09491771471643333,26703,71641
216,378,0,0,67,0.09306201819570803,26736,71995
217,394,0,0,65,0.08981249913641827,26786,72373
218,394,0,0,65,0.08932620556021273,26884,72767
219,467,0,0,65,0.08884514973824852,26944,73161
220,382,2,0,65,0.08828163198783072,27082,73628
221,404,1,0,66,0.08917713822456425,27136,74010
222,412,1,0,65,0.08734915472894886,27204,74414
223,421,2,0,66,0.08820463475262609,27285,74826
224,427,2,0,68,0.09036905125785746,27375,75247
225,381,1,0,70,0.09250204825964004,27468,75674
226,441,1,0,71,0.09335349418184209,27498,76055
227,389,1,0,70,0.09150805270863836,27588,76496
228,446,1,0,70,0.09104506730831761,27647,76885
229,373,2,0,69,0.0892268301198743,27781,77331
230,427,2,0,69,0.08879851745083908,27816,77704
231,406,1,0,70,0.08959311924844171,27895,78131
232,450,0,0,70,0.0891299642206858,27988,78537
233,388,0,0,69,0.08735614721409851,28120,78987
234,417,2,0,69,0.08692913385826773,28154,79375
235,447,2,0,71,0.08898135151393623,28241,79792
236,406,0,0,72,0.08973192587145902,28368,80239
237,481,1,0,72,0.08928017856035711,28449,80645
238,461,1,0,72,0.08875083203905038,28573,81126
239,475,2,0,73,0.0894750389155135,28693,81587
240,472,3,0,75,0.09139431161804489,28814,82062
241,411,0,0,78,0.09450650640947973,28923,82534
242,381,3,0,77,0.09283259991560673,28977,82945
243,382,2,0,79,0.09480834313419581,28970,83326
244,461,0,0,81,0.09676494480814259,29011,83708
245,423,2,0,81,0.09623495586260974,29094,84169
246,474,2,0,83,0.09811802534518631,29170,84592
247,495,0,0,84,0.09874685538287917,29294,85066
248,403,2,0,84,0.09817557064550438,29416,85561
249,507,0,0,86,0.10004187799543995,29453,85964
250,472,4,0,85,0.09829885163812144,29588,86471
251,481,1,0,89,0.10236591790023347,29687,86943
252,496,2,0,90,0.10294655929721816,29791,87424
253,497,1,0,92,0.10464058234758872,29924,87920
254,513,1,0,91,0.10292138389676193,30067,88417
255,459,2,0,91,0.1023276734510289,30218,88930
256,466,2,0,93,0.10403964693642394,30274,89389
257,508,2,0,95,0.1057258917144288,30402,89855
258,478,2,0,96,0.1062381727034295,30545,90363
259,533,1,0,98,0.10788080272123819,30673,90841
260,493,2,0,98,0.10725151574846237,30834,91374
261,538,2,0,100,0.10885301577280197,30998,91867
262,517,0,0,101,0.10930144472701693,31185,92405
263,444,3,0,98,0.10546479843309442,31333,92922
264,414,1,0,100,0.107105370263265,31417,93366
265,464,2,0,98,0.10449989336745574,31453,93780
266,538,4,0,98,0.10398539960103562,31547,94244
267,417,1,0,100,0.10550526471270916,31704,94782
268,508,3,0,100,0.10504312020084244,31781,95199
269,447,2,0,101,0.10553042097234268,31916,95707
270,477,2,0,102,0.10607983027227155,31971,96154
271,512,1,0,103,0.10659105256077242,32086,96631
272,509,2,0,103,0.10602925583932965,32229,97143
273,535,4,0,104,0.10650063490763118,32385,97652
274,563,1,0,107,0.10897572998462118,32526,98187
275,441,2,0,105,0.10632911392405063,32719,98750
276,483,3,0,103,0.10384006613503242,32801,99191
277,486,3,0,104,0.10434014888536629,32893,99674
278,511,0,0,105,0.10483226837060702,32991,100160
279,580,0,0,104,0.10330681129620248,33116,100671
280,503,1,0,103,0.10172739034676201,33298,101251
281,454,3,0,104,0.10220728423452641,33414,101754
282,567,0,0,107,0.10468847839699437,33505,102208
283,506,2,0,105,0.10216492337630748,33690,102775
284,503,1,0,105,0.10166439132076568,33781,103281
285,533,3,0,106,0.10213520388499191,33858,103784
286,553,1,0,108,0.10353058466021837,34003,104317
287,507,2,0,108,0.10298464765900639,34164,104870
288,470,2,0,109,0.10343813166060906,34281,105377
289,544,1,0,110,0.1039235878201555,34354,105847
290,502,1,0,111,0.10433213335714488,34482,106391
291,452,2,0,112,0.10477767487113282,34598,106893
292,543,1,0,113,0.10526806092505472,34646,107345
293,546,4,0,114,0.10566513421325818,34807,107888
294,510,0,0,118,0.10882195621299592,34948,108434
295,604,2,0,117,0.10739462476134529,35047,108944
296,484,2,0,117,0.10680249753532699,35254,109548
297,519,0,0,118,0.10724152973680384,35292,110032
298,467,0,0,118,0.10673806659369885,35435,110551
299,517,2,0,117,0.10538831540831217,35478,111018
300,575,1,0,117,0.10489980723539696,35562,111535
301,580,4,0,118,0.10525376862010524,35738,112110
302,554,3,0,121,0.1073742124412104,35932,112690
303,574,2,0,122,0.1077319769700823,36089,113244
304,601,2,0,124,0.10894586093588007,36268,113818
305,567,1,0,123,0.107499628558194,36434,114419
306,617,3,0,121,0.10523020193762718,36586,114986
307,621,3,0,123,0.10639862287310883,36768,115603
308,489,1,0,124,0.10669052863436124,36959,116224
309,631,3,0,124,0.10624352043045761,37037,116713
310,597,2,0,127,0.10822879738205618,37223,117344
311,641,2,0,128,0.1085288406915322,37353,117941
312,569,1,0,130,0.10962878008466716,37552,118582
313,620,4,0,130,0.10910525299829628,37631,119151
314,642,1,0,133,0.11104524467525527,37825,119771
