Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
1,142,1,0,336,3.36,10000,10000
2,139,2,0,337,3.322816012620785,10142,10142
3,175,4,0,339,3.2973446162824627,10281,10281
4,163,1,0,343,3.280413159908187,10456,10456
5,150,4,0,344,3.2394764102081175,10619,10619
6,143,4,0,348,3.2314978178103817,10769,10769
7,145,2,0,352,3.225806451612903,10912,10912
8,153,1,0,354,3.201591751831419,11057,11057
9,158,1,0,355,3.1668153434433544,11210,11210
10,182,3,0,356,3.1315974665728357,11368,11368
11,197,5,0,359,3.1082251082251084,11550,11550
12,183,2,0,364,3.098663488550268,11747,11747
13,161,3,0,366,3.0678960603520538,11930,11930
14,165,2,0,369,3.0518567529567444,12091,12091
15,193,4,0,371,3.027088772845953,12256,12256
16,198,4,0,375,3.0122901437866494,12449,12449
17,166,5,0,379,2.996758124456393,12647,12647
18,177,1,0,384,2.996956216342777,12813,12813
19,179,3,0,385,2.9638183217859893,12990,12990
20,205,1,0,388,2.946313311565039,13169,13169
21,207,3,0,389,2.9086286825183194,13374,13374
22,199,2,0,392,2.8863853913555704,13571,13581
23,207,3,0,393,2.8519593613933236,13739,13780
24,194,5,0,394,2.8169014084507045,13891,13987
25,222,3,0,396,2.792468796276708,14006,14181
26,193,3,0,396,2.7494272026661113,14105,14403
27,229,4,0,394,2.6993696903261166,14158,14596
28,238,2,0,390,2.630691399662732,14209,14825
29,216,0,0,387,2.5692093208524196,14279,15063
30,240,2,0,379,2.480528830420839,14317,15279
31,220,3,0,373,2.403505380501321,14373,15519
32,196,1,0,370,2.350848211449266,14400,15739
33,223,1,0,365,2.2905553812362722,14416,15935
34,235,3,0,357,2.2094318603787597,14471,16158
35,193,6,0,353,2.153358140669798,14476,16393
36,236,5,0,351,2.116242614252984,14463,16586
37,203,3,0,346,2.056830341219831,14482,16822
38,246,1,0,346,2.0323054331864903,14477,17025
39,222,2,0,342,1.9801980198019802,14528,17271
40,219,5,0,340,1.9436345966958213,14558,17493
41,236,7,0,340,1.9196025293586267,14586,17712
42,245,6,0,336,1.87207488299532,14615,17948
43,197,4,0,337,1.852360798109163,14685,18193
44,240,9,0,331,1.7998912452419795,14672,18390
45,208,1,0,335,1.7981749865807837,14698,18630
46,247,8,0,331,1.7570867395689564,14715,18838
47,205,6,0,334,1.750065496463191,14767,19085
48,230,6,0,331,1.7159149818558836,14764,19290
49,240,6,0,330,1.6905737704918034,14809,19520
50,252,2,0,332,1.680161943319838,14864,19760
51,246,7,0,326,1.6290225864481311,14915,20012
52,199,5,0,321,1.5845591864942246,14967,20258
53,212,4,0,320,1.5642567336364082,14960,20457
54,225,6,0,311,1.5046688277130003,14975,20669
55,235,5,0,310,1.483679525222552,15001,20894
56,260,7,0,308,1.4577121491788536,15013,21129
57,205,5,0,306,1.4306419187432793,15079,21389
58,259,7,0,305,1.4124293785310735,15077,21594
59,221,5,0,309,1.4139935020363337,15119,21853
60,205,1,0,307,1.3907764791157018,15140,22074
61,243,5,0,293,1.3151398177656088,15172,22279
62,240,6,0,291,1.2920699760234438,15222,22522
63,210,2,0,295,1.296019681926017,15258,22762
64,202,0,0,292,1.2711126588890822,15256,22972
