generation,calculated_children,children_created,random_event_child,homosexuals,alive_population,total_population
0,0,0,2347,10000,10000,
1,193,193,84,2354,10193,10193,
2,195,195,90,2360,10388,10388,
3,172,172,73,2364,10560,10560,
4,210,210,89,2366,10770,10770,
5,173,173,65,2372,10943,10943,
6,212,212,79,2377,11155,11155,
7,190,190,91,2379,11345,11345,
8,184,184,62,2384,11529,11529,
9,213,213,92,2387,11742,11742,
10,215,215,94,2393,11957,11957,
11,207,207,86,2401,12164,12164,
12,224,224,88,2407,12388,12388,
13,244,244,107,2409,12632,12632,
14,214,214,84,2412,12846,12846,
15,236,236,102,2417,13082,13082,
16,245,245,111,2428,13327,13327,
17,241,241,100,2435,13568,13568,
18,218,218,92,2441,13786,13786,
19,260,260,111,2446,14046,14046,
20,256,256,110,2455,14302,14302,
21,264,264,95,2459,14566,14566,
22,239,239,109,2465,14805,14805,
23,255,255,114,2471,15060,15060,
24,259,259,92,2478,15319,15319,
25,304,304,108,2484,15623,15623,
26,302,302,103,2487,15925,15925,
27,278,278,105,2500,16203,16203,
28,316,316,120,2508,16519,16519,
29,296,296,100,2514,16815,16815,
30,277,277,10,2517,17092,17092,
31,277,277,16,2518,17369,17369,
32,284,284,16,2525,17653,17653,
33,352,352,16,2526,18005,18005,
34,347,347,13,2534,18352,18352,
35,341,341,17,2536,18693,18693,
36,342,342,18,2540,19035,19035,
37,352,352,13,2541,19387,19387,
38,380,380,18,2541,19767,19767,
39,388,388,17,2543,20155,20155,
40,327,327,16,2548,20482,20482,
41,404,404,24,2550,20886,20886,
42,408,408,19,2554,21294,21294,
43,380,380,16,2559,21674,21674,
44,383,383,17,2564,22057,22057,
45,408,408,17,2572,22465,22465,
46,440,440,23,2579,22905,22905,
47,402,402,19,2582,23307,23307,
48,426,426,15,2588,23733,23733,
49,422,422,18,2596,24155,24155,
50,414,414,17,2600,24569,24569,
51,400,400,21,2500,24459,24969,
52,429,429,22,2277,23952,25398,
53,506,506,24,1978,23216,25904,
54,503,503,18,1608,22233,26407,
55,448,448,22,1316,21237,26855,
56,445,445,15,1045,20385,27300,
57,484,484,10,794,19831,27784,
58,503,503,20,586,19508,28287,
59,496,496,14,466,19449,28783,
60,555,555,16,394,19677,29338,
61,574,574,15,351,20056,29912,
62,520,520,18,343,20498,30432,
63,531,531,20,342,20991,30963,
64,564,564,21,345,21534,31527,
65,523,523,26,346,22051,32050,
66,573,573,28,352,22623,32623,
67,645,645,28,356,23268,33268,
68,533,533,13,358,23801,33801,
69,657,657,27,363,24458,34458,
70,634,634,26,371,25092,35092,
71,679,679,19,373,25771,35771,
72,614,614,19,376,26385,36385,
73,698,698,19,388,27072,37083,
74,621,621,14,394,27659,37704,
75,681,681,20,398,28282,38385,
76,750,750,30,401,28968,39135,
77,726,726,18,400,29603,39861,
78,773,773,21,401,30237,40634,
79,727,727,13,402,30806,41361,
80,679,679,18,402,31319,42040,
81,711,711,27,399,31850,42751,
82,742,742,12,405,32375,43493,
83,784,784,16,408,32930,44277,
84,877,877,23,416,33634,45154,
85,814,814,18,415,34240,45968,
86,887,887,34,419,34935,46855,
87,778,778,21,416,35513,47633,
88,948,948,29,415,36247,48581,
89,780,780,24,412,36818,49361,
90,946,946,31,416,37527,50307,
91,825,825,17,411,38122,51132,
92,1005,1005,16,413,38885,52137,
93,852,852,9,408,39492,52989,
94,972,972,23,409,40220,53961,
95,1025,1025,18,413,41000,54986,
96,1028,1028,22,414,41766,56014,
97,1067,1067,14,410,42597,57081,
98,926,926,13,409,43284,58007,
99,1154,1154,24,412,44187,59161,
100,966,966,12,410,44879,60127,
101,1112,1112,24,407,45692,61239,
