generation,calculated_children,children_created,random_event_child,homosexuals,alive_population,total_population
0,0,0,50,100,100,
1,2,4,1,50,102,102,
2,2,4,2,50,104,104,
3,2,4,1,50,106,106,
4,2,5,3,50,109,109,
5,2,5,2,50,112,112,
6,2,4,1,50,114,114,
7,2,3,1,51,115,115,
8,2,4,2,52,117,117,
9,2,5,3,53,120,120,
10,2,4,1,53,122,122,
11,2,4,1,53,124,124,
12,2,3,1,54,125,125,
13,2,4,2,54,127,127,
14,3,5,1,55,129,129,
15,3,7,4,56,133,133,
16,3,6,3,57,136,136,
17,3,6,1,57,139,139,
18,3,7,4,58,143,143,
19,3,6,3,58,146,146,
20,3,7,4,60,150,150,
21,3,5,2,61,152,152,
22,3,5,2,62,154,154,
23,3,4,0,62,155,155,
24,3,6,1,62,158,158,
25,3,6,3,64,161,161,
26,3,5,1,64,163,163,
27,3,6,1,64,166,166,
28,3,6,2,64,169,169,
29,3,4,0,64,170,170,
30,3,7,3,65,174,174,
31,3,7,2,66,178,178,
32,3,7,2,66,182,182,
33,3,8,2,67,187,187,
34,3,7,2,69,191,191,
35,4,9,1,69,196,196,
36,4,10,3,70,202,202,
37,4,9,1,70,207,207,
38,4,9,3,72,212,212,
39,4,8,1,72,216,216,
40,4,9,3,73,221,221,
41,4,9,3,74,226,226,
42,4,9,3,76,231,231,
43,4,8,1,77,235,235,
44,4,7,2,78,238,238,
45,4,10,2,78,244,244,
46,4,9,2,78,249,249,
47,4,9,1,78,254,254,
48,5,11,2,79,260,260,
49,5,8,0,79,263,263,
50,5,12,3,79,270,270,
51,5,10,2,77,270,275,
52,5,12,4,74,263,282,
53,5,11,1,64,255,288,
54,5,12,5,58,246,295,
55,5,10,2,54,243,300,
56,5,8,0,48,236,303,
57,5,7,1,41,223,305,
58,5,10,2,38,221,310,
59,5,8,0,37,222,313,
60,6,12,1,35,224,319,
61,6,13,4,35,228,326,
62,6,12,1,34,233,332,
63,6,11,4,34,238,337,
64,6,11,4,34,242,342,
65,6,11,3,35,247,347,
66,6,12,2,35,253,353,
67,6,12,3,35,259,359,
68,7,13,0,35,265,365,
69,7,13,2,36,271,371,
70,7,14,2,36,278,378,
71,7,14,1,36,285,385,
72,7,15,4,38,293,393,
73,7,15,2,38,301,401,
74,8,16,3,38,308,409,
75,8,15,1,39,315,416,
76,8,15,0,39,321,423,
77,7,14,1,40,327,430,
78,8,17,2,40,334,439,
79,8,15,1,41,340,446,
80,8,16,2,41,347,454,
81,8,17,2,41,354,463,
82,9,18,2,41,359,472,
83,8,16,2,41,366,480,
84,8,17,2,41,372,489,
85,8,16,0,41,379,497,
86,9,19,1,40,385,507,
87,10,20,1,42,392,517,
88,9,19,2,42,400,527,
89,9,18,1,42,407,536,
90,9,19,3,44,415,546,
91,9,18,0,43,418,555,
92,9,19,2,43,427,565,
93,11,23,2,43,437,577,
94,11,22,0,42,445,588,
95,11,22,1,41,451,599,
96,10,20,1,41,460,609,
97,10,21,3,42,469,620,
98,12,25,2,42,479,633,
99,12,24,2,41,489,645,
100,11,23,1,40,497,657,
101,11,21,1,38,504,667,
102,11,23,2,39,513,679,
103,13,25,2,39,522,691,
104,13,27,2,38,534,705,
105,12,25,2,39,546,718,
106,12,24,2,37,554,730,
107,14,27,3,36,564,743,
108,14,28,0,36,573,757,
109,13,25,2,37,583,769,
110,14,27,4,38,592,782,
111,13,27,3,38,605,796,
112,13,26,2,41,614,809,
113,14,27,1,41,620,822,
114,16,30,1,42,625,836,
115,14,28,1,41,635,850,
116,15,31,1,39,648,866,
117,17,34,2,39,662,883,
118,16,32,0,37,670,899,
119,16,32,1,37,678,915,
120,18,36,2,37,691,933,
121,15,27,0,37,699,945,
122,17,35,1,35,710,963,
123,19,37,2,36,724,981,
124,18,36,1,37,737,999,
125,19,38,0,37,753,1018,
126,17,35,3,39,763,1036,
127,19,38,2,38,779,1055,
128,21,42,0,38,796,1076,
129,19,38,1,37,810,1095,
130,20,39,0,39,823,1114,
131,20,40,0,38,838,1134,
132,22,45,2,39,857,1157,
133,21,43,3,39,874,1179,
134,20,40,2,39,890,1199,
135,21,42,2,40,904,1220,
136,20,38,0,41,919,1238,
137,20,39,0,40,934,1257,
138,25,49,2,40,954,1281,
139,23,43,2,38,966,1301,
140,22,44,1,39,981,1323,
141,23,46,1,38,999,1346,
